URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,214,Van Siclen Ave,POINT,-73.89036,40.67
http://web.mta.info/nyct/service/,215,Cleveland St,POINT,-73.88519,40.68
http://web.mta.info/nyct/service/,216,Livonia Ave,POINT,-73.90056,40.66
http://web.mta.info/nyct/service/,217,Junius St,POINT,-73.90245,40.66
http://web.mta.info/nyct/service/,218,Rockaway Ave,POINT,-73.90896,40.66
http://web.mta.info/nyct/service/,219,Canarsie - Rockaway Pkwy,POINT,-73.90185,40.65
http://web.mta.info/nyct/service/,220,E 105th St,POINT,-73.89955,40.65
http://web.mta.info/nyct/service/,221,Saratoga Ave,POINT,-73.91633,40.66
http://web.mta.info/nyct/service/,222,Sutter Ave - Rutland Road,POINT,-73.92252,40.66
http://web.mta.info/nyct/service/,223,New Lots Ave,POINT,-73.89928,40.66
http://web.mta.info/nyct/service/,224,Broadway Junction,POINT,-73.90429,40.68
http://web.mta.info/nyct/service/,225,Alabama Ave,POINT,-73.89853,40.68
http://web.mta.info/nyct/service/,226,Shepherd Ave,POINT,-73.88075,40.67
http://web.mta.info/nyct/service/,227,Crescent St,POINT,-73.87393,40.68
http://web.mta.info/nyct/service/,228,Cypress Hills,POINT,-73.87332,40.69
http://web.mta.info/nyct/service/,229,75th St - Eldert Ln,POINT,-73.86729,40.69
http://web.mta.info/nyct/service/,230,69th St,POINT,-73.8964,40.75
http://web.mta.info/nyct/service/,231,74th St - Broadway,POINT,-73.89121,40.75
http://web.mta.info/nyct/service/,232,Woodhaven Blvd - Queens Mall,POINT,-73.86943,40.73
http://web.mta.info/nyct/service/,233,Myrtle - Wyckoff Aves,POINT,-73.91218,40.7
http://web.mta.info/nyct/service/,234,Seneca Ave,POINT,-73.90758,40.7
http://web.mta.info/nyct/service/,235,DeKalb Ave,POINT,-73.91823,40.7
http://web.mta.info/nyct/service/,236,52nd St,POINT,-73.91255,40.74
http://web.mta.info/nyct/service/,237,46th St,POINT,-73.91352,40.76
http://web.mta.info/nyct/service/,238,Northern Blvd,POINT,-73.90607,40.75
http://web.mta.info/nyct/service/,239,46th St,POINT,-73.91844,40.74
